titles,details,hrefs,date,reference,term,year,page,country,party,file,n_results,reference_clean,content,href_answer,reference_page,rule,directed_at
Brunei,WRITTEN QUESTION  by Glyn Ford (PSE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2008-2109+0+DOC+XML+V0//EN&language=EN,04-04-2008,E-2109/2008,2004-2009,2008,25,unitedkingdom,Socialist Group in the European Parliament,2004-2009_2008_unitedkingdom_socialist-group-in-the-european-parliament_25.html,328,E-2109_2008,"

Bilateral Free Trade Agreements (FTAs) with four Association of Southeast Asian Nations (ASEAN) member states – Thailand, Vietnam, Singapore and Brunei – may be negotiated if there is failure to agree a comprehensive FTA with ASEAN as a whole.

In those circumstances, does the Commission plan to negotiate a Partnership and Cooperation Agreement with Brunei containing the usual democracy, human rights and labour clauses?",/sides/getAllAnswers.do?reference=E-2008-2109&language=EN,E-2109/08,NA,commission
VP/HR - Funding of Burundian contingents in AMISOM,Question for written answer E-005813/2017to the CommissionRule 130Maria Arena (S&D),https://www.europarl.europa.eu/doceo/document/E-8-2017-005813_EN.html,19-09-2017,E-005813/2017,2014-2019,2017,3,belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2017_belgium_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_3.html,123,E-005813_2017,"
In March 2016, following the decision by the Council of the EU to suspend direct financial support to the Burundian Government, including budgetary support, the EU undertook to review the arrangements for the payment of Burundian soldiers in the African Union’s mission to Somalia (Amisom). The agreement reached with the African Union was to pay the soldiers via a Burundian commercial bank to prevent their pay being routed via the Burundian Government which would deduct 20%. However, it appears that the forces’ pay is currently being channelled via a military cooperative (CECAD) controlled by the Ministry of Defence, and that the deductions are still taking place.
Are there any plans for joint monitoring with the African Union to verify this information, and if so, when will the results be known?
If the information proves correct, what position will the EU take to ensure a coherent approach and avoid any collusion with or support for the Burundian authorities?",/doceo/document/E-8-2017-005813-ASW_EN.html,E-005813-17,130,commission
CEF call for proposals - rail access to the outer port of Ferrol,Question for written answer E-012586/2015to the CommissionRule 130José Blanco López (S&D),https://www.europarl.europa.eu/doceo/document/E-8-2015-012586_EN.html,08-09-2015,E-012586/2015,2014-2019,2015,13,spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2015_spain_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_13.html,608,E-012586_2015,"
In July 2015, the Commission put forward a proposed list of projects eligible for financing under the transport call for proposals for the Connecting Europe Facility, a procedure which has been allocated EUR 11.9 billion to fund projects to improve ‘core corridors’ in the trans-European transport network
The project to build a rail connection to the outer port and develop an internal rail network at the port of Ferrol (2014-ES-TA-0426-W) was not selected on the grounds of supposed low European added value, although its relevance, impact and social and economic benefits were stressed.
Could the Commission provide further information on the reasons for the project's exclusion and its perceived low European added value?
Could the Commission say whether the Government of Spain has appealed against this decision and whether it could be reconsidered?",/doceo/document/E-8-2015-012585-ASW_EN.html,E-012586-15,130,commission
President’s political activities in relation to gender equality,"Question for written answer E-003112/2020/rev.1to the President of the European CouncilRule 138Robert Biedroń (S&D), Evelyn Regner (S&D), Maria Noichl (S&D), Pina Picierno (S&D), Heléne Fritzon (S&D), Maria-Manuel Leitão-Marques (S&D)",https://www.europarl.europa.eu/doceo/document/E-9-2020-003112_EN.html,20-05-2020,E-003112/2020,2019-2024,2020,10,italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2019-2024_2020_italy_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_10.html,149,E-003112_2020,"Under Article 15 of the Treaty on European Union, the President of the Council is responsible for chairing the Council’s meetings and ‘driving forward its work’.  In order to do so, the President appoints their own personal office, which includes a Head of Cabinet and political support staff.1. Will gender equality form part of the President’s personal political activities before the end of his mandate?2. If it is already part of his personal political activities, could he share some examples?3. If so, would the he consider designating an advisor for gender equality within his Cabinet?",/doceo/document/E-9-2020-003112-ASW_EN.html,E-003112/2020/rev.1,138,NA
Notification procedure for additional aid of EUR 30 million for Kassel-Calden airport,Question for written answer E-4765/2010to the CommissionRule 117Sabine Wils (GUE/NGL),https://www.europarl.europa.eu/doceo/document/E-7-2010-4765_EN.html,17-06-2010,E-4765/2010,2009-2014,2010,3,germany,Confederal Group of the European United Left - Nordic Green Left,2009-2014_2010_germany_confederal-group-of-the-european-united-left---nordic-green-left_3.html,32,E-4765_2010,"
In its notification on construction work at Kassel-Calden airport, the Commission stresses that the project could possibly lead to night flights banned from Frankfurt/Main being transferred to Calden. The same thing could also be done with night flights from Cologne/Bonn and Düsseldorf.
It should be noted that the legally binding planning permit allows for only four flights per night — two take-offs and two landings —, as the Administrative Appeals Court (Verwaltungsgerichtshof) of Kassel explicitly confirmed in its judgment of 21 August 2009. Furthermore, night flights for freight aircraft are to be concentrated in Leipzig; night flights from Kassel-Calden would be in breach of this guideline.
It would appear that the government of the state of Hesse is misleading us by presenting the expansion of Kassel-Calden as a way of creating an alternative airport to relieve pressure on other airports.
Did the government of Hesse state that Calden would be an alternative airport for night flights in the notification request or did this information come from the Commission?",/doceo/document/E-7-2010-4765-ASW_EN.html,E-4765/2010,117,commission
Waste Management,Question for written answer E-001172/2011to the CommissionRule 117Georgios Papastamkos (PPE),https://www.europarl.europa.eu/doceo/document/E-7-2011-001172_EN.html,03-02-2011,E-001172/2011,2009-2014,2011,44,greece,Group of the European People's Party (Christian Democrats),2009-2014_2011_greece_group-of-the-european-people-s-party--christian-democrats-_44.html,502,E-001172_2011,"

Will the Commission say: 
—
What percentage of the total waste produced annually in the EU is recycled? Which states perform best and which worst? How does Greece perform? 
—
What other kinds of waste management are practised in the EU, and what share do they account for, compared to recycling? 
—
Since some Member States have legislative provisions which impose sanctions (fines) on citizens who fail to recycle, is it considering harmonising rules in this sector in the EU?
",/doceo/document/E-7-2011-001172-ASW_EN.html,E-001172/2011,117,commission
"Extension of Adamas harbour, Island of Milos, Cyclades, Greece",WRITTEN QUESTION  by Alexander de Roo (Verts/ALE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2000-3595+0+DOC+XML+V0//EN&language=EN,22-11-2000,E-3595/2000,1999-2004,2000,1,netherlands,Group of the Greens/European Free Alliance,1999-2004_2000_netherlands_group-of-the-greens-european-free-alliance_1.html,33,E-3595_2000,"
By joint order 69269 of 30 March 1998 the Minister of the Environment, Regional Planning and Public Works and the Minister of the Merchant Maríne of Greece approved the above projected works. In November 1999 the Greek Government decided to go ahead with the work which was described as harbour works in order to benefit from Community funding. In fact the works are fundamentally transforming the urban and regional planning of the island by embankment of the entire length of the marine parade where the road runs along the beach, thus creating carriageways and additional areas allowing various bars and restaurants to set up tables beside the sea.
The environmental impact assessment does not seem to have been carried out in accordance with the relevant law (Law 1650/1986, Directive 85/337/EEC(1) and joint ministerial orders Nos 69269/5387/1990). The Council of State, to which an appeal was made on 11 November 1999 for suspension of the works, rejected the appeal on 18 January 2000 under a recently adopted provision, Article 35 of Law 2721/1999; the President of the Fifth Chamber of the Council of State merely invoked the concept of ""public interest"", without giving any reasons, and thus authorised resumption of the works(2). An appeal to annul the administration's decision was also lodged on 8 November 1999. When considering this appeal the Council of State deemed it admissible and thus contradicted itself by casting doubt on the public-interest argument advanced in its judgment of 18 January 2000. However, the appeal has been pending since it was lodged, and this has enabled the promoters of the works to complete them.
The possibility of widespread application of the above provision under Law 2721/1999 is dangerously restricting Greek citizens' right to temporary protection by the courts and is likely to allow the completion of works financed from Community funds that will have irreversible environmental consequences.
Can the Commission consider the above question and take the necessary measures with regard to the Greek authorities to ensure compliance with Community law, particularly the rules on environmental impact assessments?
Does the Commission not consider that there is a need to ask the Greek authorities to refund the Community funds granted for this project, if Community rules are not being complied with?
What, in the Commission's view, would be the risks caused by widespread application of the above provision under Law 2721/1999?
(1)OJ L 175, 5.7.1985. The assessment provides no details of the works or environment affected, no assessment of the consequences in all their possible forms, no detail of proposed pollution prevention, reduction or compensation measures, no consideration of advantages and disadvantages, no justification according to purely environmental criteria of the solution chosen and no analysis of alternative solutions to protect the Bay of Milos and its eco-system, the second largest natural bay in the Mediterranean. The Island of Milos is already severely affected by mineral extraction activities and plans to extend such activities, which are seriously affecting the environment (see Written Question E-0318/2000). The inclusion of the region on the west coast of Milos in the Natura 2000 network, under Directive 92/43/EEC, published in OJ L 206, 22.7.1992) is being held up by the local authorities who are mainly responsible for the works concerned.(2)The main reason for the works is to enlarge the area available for restaurants and bars.",/sides/getAllAnswers.do?reference=E-2000-3595&language=EN,E-3595/00,NA,commission
Study on the concentration of nicotine and benzene in the hospitality sector,Question for written answer E-010838/2010to the CommissionRule 117Raül Romeva i Rueda (Verts/ALE),https://www.europarl.europa.eu/doceo/document/E-7-2010-010838_EN.html,09-12-2010,E-010838/2010,2009-2014,2010,1,spain,Group of the Greens/European Free Alliance,2009-2014_2010_spain_group-of-the-greens-european-free-alliance_1.html,299,E-010838_2010,"
The recent study ‘Exposure to benzene as a carcinogen in environmental tobacco smoke in the hospitality sector’, carried out by Barcelona's Public Health Agency, looked at the concentration of nicotine and benzene in 37 bars in the city of Barcelona. An average concentration of 6.16 micrograms of benzene per cubic metre of air was measured in the bars, while Directive 2008/50/EC on ambient air quality and cleaner air sets an outdoor limit value of 5 μg/m3 of benzene. Despite the progress made in Spanish legislation with the introduction of anti-smoking measures in Law 28/2005, Spain is far from meeting the objectives of the Green Paper ‘Towards a Europe free from tobacco smoke’, the Council Recommendation on smoke-free environments adopted in 2009, or the guidelines from the WHO Conference on Tobacco Control. In the light of this, Law 28/2005 is currently being amended to strengthen the areas in which progress has been less noticeable.
What is the Commission's view of the data in the above study?
Does the Commission think that the measures currently applied by the Spanish Government are sufficient to combat smoking?
Does the Commission think that values should be laid down to limit these harmful smoking-related substances in public places?",/doceo/document/E-7-2010-010838-ASW_EN.html,E-010838/2010,117,commission
The Commission's use of private consultants,WRITTEN QUESTION  by Arlene McCarthy(PSE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1998-3499+0+DOC+XML+V0//EN&language=EN,25-11-1998,E-3499/1998,1994-1999,1998,7,unitedkingdom,Group of the Party of European Socialists,1994-1999_1998_unitedkingdom_group-of-the-party-of-european-socialists_7.html,452,E-3499_1998,"
As part of the reform of the Structural Funds, the Commission intends to decentralise further the operation of Structural Fund programmes, withdrawing from the day-to-day management of programmes in favour of a stronger Commission ""policing"" role. During the 1994-1999 programme, how many consultants has the Commission engaged in the administration of the following programmes?

What has been the total cost, and what percentage of the programmes allocations does it represent:
-
across the EU as a whole,
-
across each Objective: 1, 2, 3, 4, 5b and 6
-
and across each Community Initiative?
Can the Commission publish the details?",/sides/getAllAnswers.do?reference=E-1998-3499&language=EN,E-3499/98,NA,commission
Cattle vaccination against TB in the Netherlands,Question for written answer E-009047/2011to the CommissionRule 117Sir Graham Watson (ALDE),https://www.europarl.europa.eu/doceo/document/E-7-2011-009047_EN.html,03-10-2011,E-009047/2011,2009-2014,2011,16,unitedkingdom,Group of the Alliance of Liberals and Democrats for Europe,2009-2014_2011_unitedkingdom_group-of-the-alliance-of-liberals-and-democrats-for-europe_16.html,389,E-009047_2011,"
Can the Commission confirm whether or not meat from cattle raised in the Netherlands is vaccinated against tuberculosis (TB)?
If so, is the meat legally allowed to be exported across the European Union?",/doceo/document/E-7-2011-009047-ASW_EN.html,E-009047/2011,117,commission
Effects of the slowdown of the Chinese economy on European businesses,Question for written answer E-012305/2015to the CommissionRule 130David Casa (PPE),https://www.europarl.europa.eu/doceo/document/E-8-2015-012305_EN.html,31-08-2015,E-012305/2015,2014-2019,2015,4,malta,Group of the European People's Party (Christian Democrats),2014-2019_2015_malta_group-of-the-european-people-s-party--christian-democrats-_4.html,277,E-012305_2015,"
In view of the decrease in China’s economic growth predictions, could the Commission list the macro‐ and micro-economic vulnerabilities of the EU as a whole and say whether some Member States could be worse affected by the slowdown?",/doceo/document/E-8-2015-012305-ASW_EN.html,E-012305-15,130,commission
Resin tapping,WRITTEN QUESTION  by Sylviane Ainardi(GUE/NGL) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+P-1996-0764+0+DOC+XML+V0//EN&language=EN,21-03-1996,P-0764/1996,1994-1999,1996,1,france,Confederal Group of the European United Left/Nordic Green Left,1994-1999_1996_france_confederal-group-of-the-european-united-left-nordic-green-left_1.html,4,P-0764_1996,"
There continues to be a major shortage of pine resin products in Europe. Unfortunately, owing to falling prices and a lack of encouragement, production of pine resin has been abandoned in many areas, such as the Landes region of France.
A new resin tapping process (the 'closed vessel' technique) was developed recently. This process is more efficient and enables turpentine to be obtained by decantation, together with crystallized resin. A mobile distillation unit is then used for on-site conversion of the crystallized resin into gum rosin and turpentine. Trials are currently being conducted.
Is the Commission aware of these new techniques, and does it intend to provide encouragement in the form of financial aid with a view to reviving pine resin production in forest regions such as the Landes?",/sides/getAllAnswers.do?reference=P-1996-0764&language=EN,P-0764/96,NA,commission
Compatibility of German road-toll scheme with EU law,Question for written answer P-005869/2014to the CommissionRule 130Pascal Arimont (PPE),https://www.europarl.europa.eu/doceo/document/P-8-2014-005869_EN.html,21-07-2014,P-005869/2014,2014-2019,2014,3,belgium,Group of the European People's Party (Christian Democrats),2014-2019_2014_belgium_group-of-the-european-people-s-party--christian-democrats-_3.html,31,P-005869_2014,"
On 7 July 2014 the German Ministry for Transport and Digital Infrastructure unveiled plans to introduce a road toll. In a press release of the same date, the Commission said it supported the scheme in principle but that some details remained to be determined.
1. Have full details of the road-toll scheme now been released, enabling the Commission to assess it conclusively?
2. If so, is the proposed scheme compatible with EC law?
3. Does the scheme not clearly violate the principle of non-discrimination inasmuch as there are explicit plans to introduce, at the same time, a discount on vehicle tax at precisely the level of the toll charge, so that, in effect, the owners of vehicles registered in Germany will not have to pay the toll?",/doceo/document/P-8-2014-005869-ASW_EN.html,P-005869-14,130,commission
Inconsistency between Council Regulation (EC) No 883/2004 and double taxation treaties,"Question for written answer E-003241/2020to the CommissionRule 138Jeroen Lenaers (PPE), Kris Peeters (PPE)",https://www.europarl.europa.eu/doceo/document/E-9-2020-003241_EN.html,28-05-2020,E-003241/2020,2019-2024,2020,10,belgium,Group of the European People's Party (Christian Democrats),2019-2024_2020_belgium_group-of-the-european-people-s-party--christian-democrats-_10.html,169,E-003241_2020,"In the wake of the corona crisis, which has forced many border workers into working from home or into temporary unemployment, inconsistencies have emerged between the provisions of double taxation treaties and those of Regulation (EC) No 883/2004. Taxing rights are established in line with double taxation treaties, while compulsory insurance and contribution arrangements are laid down by Regulation (EC) No 883/2004. Under the coronavirus provisions, social security benefits and contributions for border workers are still payable in the country of employment, while income tax is levied in the country of residence. This inconsistency is also a structural problem, given that income and benefit tax arrangements for border workers, posted workers and international transport workers are governed by around 600 different double taxation treaties between Member States, while compulsory insurance is governed by Regulation (EC) No 883/2004.1. Does the Commission acknowledge the inconsistencies between the allocation provisions of the double taxation treaties and those of Regulation (EC) No 883/2004 and the need to resolve them?2. Is the Commission prepared to set up a working group of taxation and social security experts to recommend ways of improving coordination and ensuring greater consistency between the allocation provisions of the double taxation treaties and the corresponding provisions of Regulation (EC) No 883/2004?",/doceo/document/E-9-2020-003241-ASW_EN.html,E-003241/2020,138,commission
Protecting traditional industries,WRITTEN QUESTION  by Ilda Figueiredo (GUE/NGL) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2004-0856+0+DOC+XML+V0//EN&language=EN,09-03-2004,E-0856/2004,1999-2004,2004,3,portugal,Confederal Group of the European United Left/Nordic Green Left,1999-2004_2004_portugal_confederal-group-of-the-european-united-left-nordic-green-left_3.html,50,E-0856_2004,"

At a recent meeting with representatives of the employees of Fosforeira Portuguesa in Espinho, Portugal, the questioner was informed of the problems the company is experiencing, which may jeopardise its viability in the future. The issue is competition, because of imports of matches from the accession countries and third countries, such as China.

Can the Commission therefore say:

1.  whether any research has been carried out into the impact of the forthcoming accession on traditional industries, in particular the match industry, and of China's accession to the WTO;

2.  what measures it will take to support these traditional industries, with a view to safeguarding jobs?",/sides/getAllAnswers.do?reference=E-2004-0856&language=EN,E-0856/04,NA,commission
Professor Davinderpal Singh Bhullar,Question for written answer E-006009/2011to the CommissionRule 117Marina Yannakoudakis (ECR),https://www.europarl.europa.eu/doceo/document/E-7-2011-006009_EN.html,09-06-2011,E-006009/2011,2009-2014,2011,30,unitedkingdom,European Conservatives and Reformists Group,2009-2014_2011_unitedkingdom_european-conservatives-and-reformists-group_30.html,606,E-006009_2011,"
Could the Commission comment on accusations that Professor Davinderpal Singh Bhullar, a Sikh political activist, who has been in jail for 15 years and on death row for 8 years, has been unjustly treated under Indian law since his extradition from Germany in December 1994?",/doceo/document/E-7-2011-006009-ASW_EN.html,E-006009/2011,117,commission
Castration of piglets,"WRITTEN QUESTION  by Bart Staes (Verts/ALE), Kathalijne Maria Buitenweg (Verts/ALE), David Hammerstein (Verts/ALE), Paulo Casaca (PSE), Karin Scheele (PSE), John Bowis (PPE-DE) and Neil Parish (PPE-DE) to the Commission",http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2007-3035+0+DOC+XML+V0//EN&language=EN,06-06-2007,E-3035/2007,2004-2009,2007,6,belgium,Socialist Group in the European Parliament,2004-2009_2007_belgium_socialist-group-in-the-european-parliament_6.html,76,E-3035_2007,"

The results of a special Eurobarometer survey about the attitude of the European citizens to the welfare of farmed animals (published in June 2006) show that a minority of the population thinks that the welfare of pigs is unsatisfactory. One of the elements that surely contributes to a lower welfare of piglets is castration without anaesthesia. The EFSA-report ‘Welfare aspects of the castration of piglets’ (EFSA Journal (2004) 91, 1-18, page 18), says that this is painful and for newborn piglets it is even worse. In 1997 the Scientific Committee on Animal Health and Animal Welfare concluded that castration causes severe pain and harm that, where possible, ‘should be prevented’.

At this moment, over 10 years later, the EU still allows the castration of piglets up to the age of seven days without anaesthetic. Although the European Parliament approved this in a resolution on 12 October 2006, this is obviously not reconcilable with the official policy of the Commission that recognises that animals are sentient beings (http://ec.europa.eu/food/animal/welfare/index_en.htm).

Why has the Commission, in spite of convincing scientific evidence and a broad public consensus on the fact that pigs deserve better treatment, not yet taken measures to ensure that farmers abandon the castration of piglets — whatever their age may be — without anaesthesia?",/sides/getAllAnswers.do?reference=E-2007-3035&language=EN,E-3035/07,NA,commission
Independent growth forecasts,Question for written answer E-010787/2011to the CommissionRule 117Nikolaos Chountis (GUE/NGL),https://www.europarl.europa.eu/doceo/document/E-7-2011-010787_EN.html,11-11-2011,E-010787/2011,2009-2014,2011,3,greece,Confederal Group of the European United Left - Nordic Green Left,2009-2014_2011_greece_confederal-group-of-the-european-united-left---nordic-green-left_3.html,254,E-010787_2011,"
Paragraph 26-b of the recent Euro Summit Statement reads: ‘In particular, national budgets should be based on independent growth forecasts’.
In view of the above, will the Commission say.
1. Are the forecasts and estimates of the independent Hellenic Statistical Authority (EL.STAT.) considered ‘independent growth forecasts’?
2. If not, what does it consider to be the characteristics of the bodies that make such forecasts?
3. Which bodies does it believe currently make reliable and independent ‘growth forecasts’?",/doceo/document/E-7-2011-010787-ASW_EN.html,E-010787/2011,117,commission
Distortion of competition as a result of the low costs of employing Polish construction workers not covered by a collective agreement in the Member States of the European Union,WRITTEN QUESTION  by Erik Meijer (GUE/NGL) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2002-2977+0+DOC+XML+V0//EN&language=EN,22-10-2002,E-2977/2002,1999-2004,2002,5,netherlands,Confederal Group of the European United Left/Nordic Green Left,1999-2004_2002_netherlands_confederal-group-of-the-european-united-left-nordic-green-left_5.html,159,E-2977_2002,"
1. Can the Commission confirm that the social dialogue introduced in Poland in connection with the adoption of the ""acquis communautaire"" of the European Union involves discussions being held once a year by the Polish government with national umbrella organisations of employees and employers, that these informal discussions do not lead to agreements and that they are not followed up by discussions between employees' and employers' organisations operating in individual sectors?
2. Can the Commission also confirm that there are no national or regional collective agreements in the construction sector in Poland, which includes housing, commercial and industrial buildings, roads, bridges and dams, but only agreements at the level of individual companies or their local branches?
3. Is the Commission aware that Polish construction workers are being squeezed out in their own country by Ukrainians who work for lower pay, and that this is encouraging Poles to look for work on building projects in the existing Member States of the EU, primarily in Germany where, following the completion of a number of major projects, there is a high level of unemployment in the construction sector, and in Austria, Finland and Sweden?
4. Is it attractive for employers to recruit Polish construction workers as they can in practice be employed on lower pay and less favourable conditions of employment than workers who have been resident for long time in the Member State concerned, insofar as they are not covered by a Polish collective agreement or by a collective agreement of the country where they are employed — provided that such an agreement has not been declared generally binding —, so that companies not belonging to an employers' organisation which is a contracting party to a collective agreement have no other obligations than to pay the minimum wage?
5. Does the Commission expect this problem to have been resolved by the end of the seven-year period following Poland's accession to the EU during which labour migration will be restricted, if at that time there are still no generally binding collective agreements in Poland and other Member States? If so, on what grounds? If not, what additional measures are needed in order to prevent workers from being recruited on the basis of low employment costs?
6. Is the Commission preparing measures with a view to including migrant workers in collective agreements?",/sides/getAllAnswers.do?reference=E-2002-2977&language=EN,E-2977/02,NA,commission
Forest fire prevention in the Prefecture of Attica,"WRITTEN QUESTION E-4234/09by Stavros Lambrinidis (S-D), Maria Eleni Koppa (S-D), Anni Podimata (S-D), Georgios Stavrakakis (S-D), Kriton Arsenis (S-D), Chrysoula Paliadeli (S-D), Giorgos Papakonstantinou (S-D) and Sylvana Rapti (S-D)to the Council",https://www.europarl.europa.eu/doceo/document/E-7-2009-4234_EN.html,27-08-2009,E-4234/2009,2009-2014,2009,9,greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2009-2014_2009_greece_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_9.html,113,E-4234_2009,"
Exactly two years after the tragic fires in Greece, history is unfortunately repeating itself: once again catastrophic fires have devastated the forests of northern and eastern Attica, thereby depriving the Prefecture of its few remaining green ‘lungs’.

Bearing in mind that in a communication of March 2009, the Commission had proposed a series of specific measures and mechanisms aimed at improving the Union’s prevention, readiness and response capabilities in the event of disasters, such as fires, and recognising the dramatic reduction in forest cover in southern Europe, will the Council say:
1.
How well has the European preventive mechanism worked and to what extent have existing anti-fire mechanisms been set in motion this summer in southern Europe, bearing in mind that according to latest estimates by the European Forest Fire Information System, up to the middle of this year (2009) 200 000 hectares had been burnt in EU Member States, that is some 20 000 hectares more than in 2008?
2.
Has any assessment been carried out of planned measures to create and operate a European training network to address disasters and for the early warning of the intervention and rehabilitation phases in the event of disasters, inter alia, through the Global Monitoring for the Environment and Security (GMES) initiative and the use of the European single emergency call number (112)?
3.
What progress has been made in the execution of projects in Greece for the 2007‑13 period under the European Regional Fund and the Cohesion Fund to prevent and address risks, in particular as regards the Operational Programme for the Environment (2007‑13) and the European Agricultural Fund for Rural Development as regards the restoration of forestry capacity and the introduction of preventive measures?
4.
How does it view the information contained in a recent WWF Greece report (July 2009) condemning the failure to include fire brigade and civil protection group volunteers in the Greek framework? How does it view the accusations made by the Association of Fire Brigade Officials regarding shortages of personnel, shortcomings in material and technical infrastructures and in the critical sector of prevention? What information is available about the take-up rate and the use of the available Community aid resources by Greece to carry out preventive measures in 2008‑09?
",/doceo/document/E-7-2009-4234-ASW_EN.html,E-4234/09,NA,council
Artificial distortion of competition - distribution cost charges,Question for written answer E-004162/2017to the CommissionRule 130Deirdre Clune (PPE),https://www.europarl.europa.eu/doceo/document/E-8-2017-004162_EN.html,22-06-2017,E-004162/2017,2014-2019,2017,3,ireland,Group of the European People's Party (Christian Democrats),2014-2019_2017_ireland_group-of-the-european-people-s-party--christian-democrats-_3.html,68,E-004162_2017,"
As the Commission is aware, on 1 September 2015 Lufthansa Group introduced a EUR 16 distribution cost charge on every booking issued to travel agents using a computerised reservation system booking channel. It is my understanding that investigations are ongoing on the basis of Regulation (EC) No 80/2009 on a Code of Conduct for computerised reservation systems.
Can the Commission provide any updates on the status of these investigations? Is the Commission aware of the recent decision taken by British Airways and Iberia to implement a surcharge per ‘fare component’ on bookings made through the global distribution system (GDS), starting from 1 November 2017?
I believe these actions are an artificial distortion of competition in the market and are reducing the ability of European consumers to make informed choices.
Can the Commission indicate if it has made any progress on taking action on the above concerns, which appear to indicate a breach of the Code of Conduct for computerised reservation systems?",/doceo/document/E-8-2017-004162-ASW_EN.html,E-004162-17,130,commission
Review of the Professional Qualifications Directive,Question for written answer E-010391/2012to the CommissionRule 117Ian Hudghton (Verts/ALE),https://www.europarl.europa.eu/doceo/document/E-7-2012-010391_EN.html,13-11-2012,E-010391/2012,2009-2014,2012,1,unitedkingdom,Group of the Greens/European Free Alliance,2009-2014_2012_unitedkingdom_group-of-the-greens-european-free-alliance_1.html,134,E-010391_2012,"
Does the Commission have any plans to review the Professional Qualifications Directive with a view to expanding it to include private bodies that assess professional qualifications and issue professional certificates, given that the authorities in certain countries do not issue the professional certificates required for a person to work and it is necessary for professional qualifications to be recognised in a new country when a person moves from one EU country to another?",/doceo/document/E-7-2012-010391-ASW_EN.html,E-010391-12,117,commission
Freezing the EU-Israel Partnership Agreement because of the war in Gaza,WRITTEN QUESTION  by Willy Meyer Pleite (GUE/NGL) to the Council,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2009-0249+0+DOC+XML+V0//EN&language=EN,16-01-2009,E-0249/2009,2004-2009,2009,2,spain,Confederal Group of the European United Left - Nordic Green Left,2004-2009_2009_spain_confederal-group-of-the-european-united-left---nordic-green-left_2.html,18,E-0249_2009,"

The military offensive launched on 27 December against the Palestinians living in the Gaza Strip by the Israeli Government is Israel's most important military offensive since the Six Days War of 1967.

Since June 2007 the entire Palestinian population of Gaza, 1.5 million people, has been trapped there under an imposed blockade.

Before the June ceasefire came into force, the first half of 2008 had seen 420 Palestinians killed at the hands of Israeli troops, including some 80 children. During the same period, armed Palestinian groups killed 24 Israelis, including four children.

On 4 November, Israeli troops carried out an overland raid and several attacks in Gaza, resulting in the deaths of six Palestinian activists. This unilateral breaking of the truce by Israel led to the launching of dozens of Palestinian rocket attacks on nearby areas and villages in the south of Israel, without causing any victims or damage.

By the eighteenth day of a war which contravenes international criminal and humanitarian law, 900 people had been killed and 4 000 had been seriously wounded.

Given the tragic situation in which the civilian population find itself,

does the Council intend to freeze the EU‑Israel Partnership Agreement as long as Israel fails to comply with Article 2 thereof, whereby the Agreement is dependent on respect for human rights?",/sides/getAllAnswers.do?reference=E-2009-0249&language=EN,E-0249/09,NA,council
Hypermarkets and the decline of city centres,WRITTEN QUESTION  by Richard Corbett(PSE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1998-2274+0+DOC+XML+V0//EN&language=EN,22-07-1998,E-2274/1998,1994-1999,1998,19,unitedkingdom,Group of the Party of European Socialists,1994-1999_1998_unitedkingdom_group-of-the-party-of-european-socialists_19.html,452,E-2274_1998,"
Is the Commission aware of the increasing number of local shops in inner city areas (such as those in Liverpool) which are closing because of the growth of supermarkets and out-of-town shopping centres?
Is it aware that old people and people who have no cars find it difficult to travel to these hypermarkets to make their essential purchases?
Does the Commission consider that such social costs should be taken into account when deciding whether to allow such hypermarkets?
What steps is the Commission taking to find out the facts concerning this problem and to propose means by which the difficulties can be alleviated?",/sides/getAllAnswers.do?reference=E-1998-2274&language=EN,E-2274/98,NA,commission
